stop_id,TAZ
1,322
2,322
3,314
4,314
5,314
6,322
7,314
8,316
10,132
11,313
13,154
14,154
15,154
16,155
17,155
18,166
19,166
20,166
21,166
22,163
23,163
24,163
25,163
26,161
27,161
28,160
29,160
30,160
32,160
33,158
34,158
35,160
41,163
42,163
43,163
44,163
45,163
46,156
47,156
48,156
49,153
50,153
51,154
52,154
55,314
56,131
57,128
58,128
59,314
60,314
61,322
62,322
63,322
64,322
65,36
66,682
67,682
68,673
69,673
71,664
72,665
73,657
74,658
75,644
77,257
79,93
80,267
82,277
83,312
84,313
87,116
88,116
89,107
91,109
93,93
95,92
96,643
97,643
99,655
101,655
102,654
104,664
106,674
107,681
108,681
109,691
110,691
111,356
113,2
114,2
117,37
120,446
121,359
122,134
123,134
124,133
125,133
126,133
128,132
129,446
131,317
133,318
134,318
135,353
136,354
137,446
138,358
139,358
140,358
141,727
142,358
143,104
144,99
145,98
146,101
147,114
148,114
150,147
151,147
152,147
153,152
154,152
155,156
156,156
157,156
158,156
159,156
160,151
161,152
162,151
163,151
168,113
171,101
173,99
174,106
175,104
176,111
177,98
178,104
179,106
180,363
185,407
187,277
188,277
190,43
191,37
208,157
210,140
212,139
214,139
215,135
218,136
221,14
222,14
223,13
224,13
225,12
226,12
230,7
231,5
233,9
234,11
236,39
238,137
242,139
244,149
246,157
247,140
249,152
250,152
251,152
252,153
253,153
254,153
255,153
256,153
258,155
259,165
260,165
261,165
262,165
263,165
264,165
265,165
266,162
267,162
268,160
269,153
270,160
275,162
277,162
278,162
279,165
280,165
281,165
282,165
283,165
284,165
285,155
286,155
287,166
288,156
289,156
290,152
291,153
292,152
293,152
295,160
296,160
298,167
299,134
300,134
301,134
302,134
303,354
304,354
305,354
306,354
308,361
309,361
312,363
317,363
318,365
319,365
320,365
322,375
323,368
325,375
326,375
327,375
328,375
329,375
330,382
331,382
332,382
334,392
337,384
338,384
339,383
340,383
341,383
342,383
343,376
345,368
346,368
347,365
348,365
349,363
350,363
351,361
352,361
353,361
354,354
355,354
357,134
358,134
359,167
362,319
367,382
369,382
371,382
372,373
373,373
374,373
375,372
376,372
378,372
381,371
382,371
383,342
384,342
385,342
386,337
387,337
388,337
390,337
392,337
393,328
394,328
395,328
396,328
397,392
399,322
401,327
404,327
405,327
406,327
407,336
410,336
411,336
412,341
413,341
414,341
415,346
416,346
417,350
419,350
420,372
421,372
422,372
423,380
424,373
425,380
426,381
428,381
430,381
431,380
432,380
434,380
435,389
436,389
437,381
438,389
439,389
440,389
441,388
443,388
445,388
446,389
447,389
448,389
449,389
450,389
451,380
452,380
453,380
454,380
455,380
457,374
458,374
460,370
461,370
463,370
465,370
467,339
468,342
469,339
470,339
471,342
472,342
473,339
475,371
477,370
478,370
480,370
482,373
483,373
485,373
487,380
488,380
489,380
490,380
491,390
492,390
493,390
494,390
495,390
496,391
497,389
498,389
499,389
501,390
507,400
508,400
509,400
510,400
511,391
512,391
514,391
515,391
516,391
