gtfs_route_id,route_name_display,data_note,route_category,cost_effectiveness_rank,crowding_metric,reliability_metric,span_of_service_metric,frequency_metric,perc_low_income_riders,perc_minority_riders,perc_vulnerable_fare_riders,perc_1_ride_journeys,perc_2_ride_journeys,perc_3_ride_journeys,perc_4more_ride_journeys,average_daily_boardings
746,Silver Line Waterfront,,Supplemental,1,,0.908416,,,,,2%,53.10%,3.74%,31.76%,11.40%,262.8290659
217,217,,Commuter,2,1,0.586776,Fail,Fail,,,42%,82.67%,12.44%,3.26%,1.63%,188.596054
749,Silver Line SL5,,Key Bus,3,0.9809,0.770802,Pass,Pass,,,34%,73.97%,19.49%,5.66%,0.88%,11121.71321
121,121,,Commuter,4,0.9913,0.675126,Pass,Pass,,,22%,68.58%,11.53%,11.18%,8.72%,442.7605227
221,221,,Commuter,5,1,0.457967,Fail,Fail,,,24%,74.75%,18.11%,5.91%,1.23%,91.98191751
5,5,,Community,6,1,0.657939,Fail,Pass,,,55%,83.35%,11.69%,3.87%,1.09%,97.279266
21,21,,Local,7,0.9487,0.664371,Pass,Pass,,,43%,66.92%,27.32%,4.76%,1.00%,4647.83967
114,114,,Supplemental,8,0.9918,0.565626,,,,,28%,79.38%,10.41%,5.97%,4.25%,449.0567756
26,26,,Local,9,0.9931,0.520718,Pass,Pass,,,40%,62.61%,25.75%,9.47%,2.16%,1516.918212
27,27,,Local,10,0.9975,0.698556,Pass,Fail,,,42%,71.51%,21.36%,5.86%,1.28%,809.5245791
212,212,,Commuter,12,1,0.507239,Pass,Pass,,,25%,70.24%,21.20%,6.57%,1.99%,230.5364243
424,424,,Commuter,14,0.9992,0.483243,Fail,Pass,,,8%,86.28%,8.86%,3.85%,1.01%,233.8210506
751,Silver Line SL4,,Key Bus,15,0.9867,0.733182,Pass,Fail,,,33%,73.85%,19.44%,5.73%,0.99%,5636.651502
42,42,,Local,16,0.9976,0.565472,Pass,Pass,,,49%,71.16%,25.75%,2.51%,0.58%,2808.73523
17,17,,Local,18,0.9874,0.531776,Pass,Pass,,,34%,70.81%,19.24%,7.58%,2.38%,3366.89464
117,117,,Key Bus,19,0.9239,0.749659,Pass,Fail,,,18%,74.41%,12.92%,7.05%,5.62%,6644.603668
741,Silver Line SL1,,Key Bus,20,,0.848509,Pass,Pass,,,2%,48.10%,11.01%,23.54%,17.34%,44.82514609
30,30,,Local,21,0.9726,0.557746,Pass,Pass,,,33%,72.75%,20.71%,5.34%,1.20%,2576.097858
33,33,,Local,22,0.9481,0.578245,Pass,Fail,,,55%,83.19%,11.36%,4.30%,1.15%,1270.968321
50,50,,Local,23,0.9468,0.508318,Fail,Pass,,,35%,72.36%,21.85%,5.03%,0.76%,1357.070477
69,69,,Local,24,0.9962,0.771933,Pass,Pass,,,25%,81.20%,13.64%,4.22%,0.93%,3052.489915
116,116,,Key Bus,25,0.9348,0.719518,Pass,Fail,,,19%,73.93%,12.74%,7.45%,5.87%,7194.158652
214,214,,Local,26,0.9991,0.723638,Fail,Pass,,,44%,74.30%,20.01%,4.85%,0.84%,1155.751229
24,24,,Local,27,0.9893,0.669219,Pass,Pass,,,50%,78.09%,14.94%,5.60%,1.37%,1724.360176
40,40,,Local,28,0.9575,0.460383,Pass,Pass,,,38%,61.60%,27.94%,8.82%,1.64%,1041.068757
84,84,,Commuter,29,0.9521,0.572432,Pass,Pass,,,6%,65.84%,29.31%,4.21%,0.63%,295.67792
434,434,,Commuter,30,1,0.307947,Fail,Fail,,,4%,78.80%,15.42%,4.10%,1.69%,33.1786302
19,19,,Local,31,0.9374,0.44909,Pass,Pass,,,41%,76.45%,18.31%,4.24%,1.00%,2831.303277
