shape_id2,route_id2,variant,direction,trips
010038,01,_,Outbound,285
010058,01,_,Inbound,276
040018,04,_,Inbound,10
040019,04,_,Outbound,10
040020,04,1,Inbound,9
040021,04,1,Outbound,9
050027,05,_,Inbound,13
050033,05,_,Outbound,12
070035,07,2,Outbound,24
070042,07,1,Outbound,80
070051,07,7,Outbound,9
070059,07,1,Inbound,106
070060,07,5,Inbound,15
080041,08,3,Inbound,1
080046,08,3,Outbound,1
080069,08,2,Outbound,1
080070,08,9,Outbound,56
080072,08,1,Outbound,34
080085,08,1,Inbound,37
080086,08,9,Inbound,54
090056,09,_,Outbound,158
090059,09,1,Outbound,21
090060,09,1,Inbound,4
090078,09,4,Inbound,1
090079,09,_,Inbound,177
090090,09,5,Outbound,1
1000032,100,3,Inbound,83
1000033,100,3,Outbound,81
1000034,100,1,Inbound,8
1000035,100,1,Outbound,8
1000048,100,_,Inbound,1
100041,10,9,Outbound,76
100044,10,5,Outbound,3
100045,10,_,Outbound,21
100046,10,8,Outbound,2
100047,10,3,Outbound,1
100048,10,6,Outbound,1
100049,10,4,Outbound,1
100070,10,1,Inbound,1
100080,10,9,Inbound,74
100081,10,_,Inbound,27
1010079,101,4,Inbound,52
1010081,101,3,Inbound,46
1010088,101,1,Inbound,5
1010094,101,8,Inbound,4
1010095,101,2,Outbound,4
1010113,101,_,Inbound,3
1010135,101,3,Outbound,40
1010136,101,1,Outbound,2
1010137,101,4,Outbound,56
1010138,101,_,Outbound,2
1040033,104,_,Outbound,99
1040034,104,_,Inbound,102
1050036,105,1,Inbound,41
1050037,105,1,Outbound,41
1060098,106,_,Outbound,68
1060099,106,4,Inbound,11
1060100,106,4,Outbound,11
1060110,106,F,Outbound,1
1060111,106,5,Outbound,3
1060112,106,5,Inbound,4
1060115,106,_,Inbound,7
1060118,106,6,Outbound,1
1060146,106,3,Inbound,63
1060147,106,7,Outbound,10
1060148,106,7,Inbound,11
1080057,108,6,Outbound,68
1080058,108,6,Inbound,69
1080065,108,7,Outbound,3
1080066,108,7,Inbound,7
1080069,108,1,Outbound,11
1080070,108,1,Inbound,12
1080073,108,2,Outbound,1
1090061,109,_,Outbound,100
1090062,109,_,Inbound,101
1090069,109,1,Inbound,4
1090070,109,1,Outbound,8
1100053,110,4,Outbound,21
1100054,110,4,Inbound,24
1100055,110,_,Inbound,71
1100056,110,_,Outbound,69
1100057,110,2,Outbound,3
110038,11,2,Outbound,8
110044,11,3,Outbound,135
110052,11,3,Inbound,136
110053,11,4,Inbound,9
110054,11,2,Inbound,8
1110071,111,5,Outbound,218
1110073,111,5,Inbound,228
1110074,111,2,Inbound,202
1110088,111,8,Inbound,19
1110089,111,8,Outbound,23
1110096,111,6,Inbound,27
1110145,111,2,Outbound,208
1120067,112,_,Outbound,48
1120068,112,_,Inbound,47
1120069,112,3,Outbound,1
1120070,112,1,Outbound,1
1120071,112,1,Inbound,2
1140014,114,1,Outbound,9
1140019,114,1,Inbound,9
1160051,116,7,Outbound,9
1160060,116,9,Outbound,1
1160075,116,4,Inbound,117
1160076,116,7,Inbound,12
1160077,116,4,Outbound,122
1170060,117,1,Outbound,3
1170066,117,9,Inbound,3
1170067,117,2,Outbound,2
1170091,117,5,Inbound,118
1170092,117,_,Inbound,6
1170093,117,8,Inbound,1
1170094,117,5,Outbound,118
1190039,119,1,Outbound,44
1190040,119,1,Inbound,44
1190041,119,2,Outbound,1
1190042,119,2,Inbound,1
1200065,120,6,Outbound,1
1200072,120,_,Outbound,96
1200073,120,_,Inbound,97
1200074,120,5,Outbound,1
1200075,120,1,Inbound,1
1210025,121,2,Outbound,9
1210026,121,2,Inbound,8
1210038,121,_,Inbound,6
1210039,121,_,Outbound,6
1310033,131,_,Inbound,10
1310034,131,4,Inbound,9
1310035,131,4,Outbound,6
1310036,131,_,Outbound,12
1310037,131,2,Inbound,2
1310038,131,2,Outbound,2
1310039,131,3,Inbound,3
1310040,131,1,Outbound,4
1320026,132,_,Outbound,33
1320027,132,_,Inbound,36
1340085,134,4,Inbound,3
1340091,134,4,Outbound,2
1340118,134,7,Outbound,23
1340119,134,6,Inbound,26
1340120,134,5,Inbound,19
1340121,134,5,Outbound,21
1340122,134,7,Inbound,21
1340123,134,C,Outbound,6
1340124,134,6,Outbound,23
1340125,134,C,Inbound,6
1340126,134,3,Outbound,6
1340127,134,3,Inbound,7
1340128,134,2,Outbound,2
1340129,134,1,Inbound,1
1340130,134,2,Inbound,1
1340131,134,9,Outbound,9
1340132,134,9,Inbound,9
1360041,136,5,Inbound,25
1360042,136,4,Outbound,3
1360043,136,4,Inbound,6
1360044,136,5,Outbound,26
1360049,136,6,Outbound,3
1360058,136,3,Inbound,1
1360062,136,3,Outbound,1
1370024,137,3,Outbound,27
1370036,137,3,Inbound,32
140040,14,1,Inbound,1
140043,14,1,Outbound,1
140055,14,2,Outbound,5
140056,14,_,Outbound,35
140057,14,_,Inbound,35
140058,14,2,Inbound,5
150077,15,_,Inbound,74
150078,15,2,Inbound,22
150079,15,_,Outbound,67
150081,15,6,Outbound,1
150082,15,4,Inbound,6
150083,15,2,Outbound,21
150084,15,3,Outbound,2
150085,15,3,Inbound,1
150086,15,1,Inbound,125
150087,15,1,Outbound,126
160065,16,9,Inbound,62
160067,16,3,Outbound,42
160068,16,_,Inbound,1
160069,16,3,Inbound,30
160071,16,9,Outbound,62
160086,16,3,Inbound,3
160094,16,8,Outbound,9
160096,16,2,Outbound,11
160106,16,2,Inbound,10
160107,16,8,Inbound,11
1700023,170,_,Outbound,2
1700024,170,3,Inbound,2
170036,17,_,Inbound,101
170037,17,_,Outbound,103
1710015,171,_,Outbound,6
180025,18,_,Outbound,27
180026,18,_,Inbound,27
190073,19,3,Inbound,20
190074,19,_,Outbound,10
190075,19,5,Outbound,2
190077,19,4,Outbound,1
190078,19,4,Inbound,2
190079,19,1,Outbound,1
190080,19,_,Inbound,11
190081,19,3,Outbound,22
1910031,191,_,Inbound,3
1910033,191,_,Outbound,2
1920018,192,_,Inbound,2
1920020,192,_,Outbound,2
1930032,193,_,Inbound,2
1930033,193,_,Outbound,2
1940030,194,_,Inbound,3
1940035,194,_,Outbound,1
